Country,Year,Air_Pollution_Deaths,Infectious_Disease_Deaths,Life_Expectancy,Smoking_Attributed_Deaths,Under_Fifteen_Mortality,Ozone_Pollution_Deaths,Health_Expenditure_as_GDP_Percentage
b'Afghanistan',2002,47732.44,89067.0,56.5,6487.9395,121967.0,430.32092,9.44
b'Afghanistan',2003,48686.883,78786.0,57.3,6527.653,122903.0,447.9483,8.94
b'Afghanistan',2004,48336.797,73711.0,57.9,6594.475,124230.0,446.78104,9.81
b'Afghanistan',2005,47107.3,70774.0,58.4,6635.9478,122306.0,442.95218,9.95
b'Afghanistan',2006,45691.066,67383.0,58.7,6720.0693,120657.0,425.64322,10.62
b'Afghanistan',2007,44161.254,63954.0,59.1,6849.35,119635.0,487.6529,9.9
b'Afghanistan',2008,42696.285,62075.0,59.9,7026.1265,114615.0,514.14514,10.26
b'Afghanistan',2009,41348.305,59703.0,60.4,7181.1147,109827.0,477.79248,9.82
b'Afghanistan',2010,40544.543,56661.0,60.9,7339.67,107214.0,422.43604,8.57
b'Afghanistan',2011,39893.324,54724.0,61.4,7571.6855,103661.0,403.22464,8.56
b'Afghanistan',2012,39363.207,52807.0,61.9,7855.574,101200.0,418.89972,7.9
b'Afghanistan',2013,39187.14,49844.0,62.4,8123.7925,99407.0,433.21323,8.81
b'Afghanistan',2014,38711.02,48031.0,62.5,8428.712,96776.0,413.5886,9.53
b'Albania',2002,2480.8923,868.0,75.9,2897.9949,1457.0,46.10592,5.66
b'Albania',2003,2595.1194,816.0,76.1,3100.1785,1306.0,53.845936,5.91
b'Albania',2004,2563.436,742.0,76.4,3166.1003,1169.0,56.29612,5.89
b'Albania',2005,2474.156,668.0,76.6,3108.3745,1034.0,52.391483,5.73
b'Albania',2006,2314.5327,592.0,76.8,2973.473,910.0,46.854786,5.63
b'Albania',2007,2191.796,532.0,77.5,2899.2192,804.0,45.829433,5.93
b'Albania',2008,2199.2644,500.0,77.7,3010.7542,718.0,43.59937,5.51
b'Albania',2009,2149.5298,471.0,77.8,3061.293,647.0,40.571438,5.83
b'Albania',2010,2130.475,461.0,77.9,3147.2642,589.0,34.508976,6.24
b'Albania',2011,2157.0374,466.0,78.1,3301.942,540.0,34.17902,6.18
b'Albania',2012,2161.334,477.0,78.1,3411.2158,500.0,35.68106,6.16
b'Albania',2013,2175.843,491.0,78.1,3543.6035,468.0,37.008152,6.28
b'Albania',2014,2214.3867,510.0,78.4,3741.2747,440.0,37.46851,6.43
b'Algeria',2002,16651.125,9812.0,71.2,15761.597,27434.0,341.05692,3.73
b'Algeria',2003,16587.582,9511.0,71.3,15843.926,27122.0,340.15823,3.6
b'Algeria',2004,16604.719,9149.0,71.8,15979.762,26308.0,353.94046,3.54
b'Algeria',2005,16604.648,8958.0,72.1,16143.619,26018.0,322.76013,3.24
b'Algeria',2006,16651.344,8807.0,72.3,16306.281,25813.0,325.06146,3.36
b'Algeria',2007,16694.322,8683.0,72.6,16512.639,25757.0,332.09586,3.82
b'Algeria',2008,16748.191,8525.0,72.9,16732.793,25871.0,343.78687,4.2
b'Algeria',2009,16922.734,8566.0,73.6,17014.246,26030.0,385.96564,5.36
b'Algeria',2010,17154.611,8524.0,73.8,17237.574,26167.0,412.72217,5.12
b'Algeria',2011,17633.037,8561.0,74.1,17594.926,26348.0,430.3664,5.27
b'Algeria',2012,18169.797,8616.0,74.2,17978.12,26749.0,421.623,6.0
b'Algeria',2013,18803.111,8700.0,74.6,18318.133,27066.0,469.07364,6.04
b'Algeria',2014,19529.607,8824.0,75.1,18740.156,27284.0,499.41202,6.55
b'Andorra',2002,14.862954,17.0,82.2,84.39883,7.0,2.299929,6.0
b'Andorra',2003,14.864876,17.0,83.9,86.83223,7.0,2.345917,5.55
b'Andorra',2004,15.038736,19.0,80.1,89.10217,7.0,2.5496814,5.29
b'Andorra',2005,14.994022,19.0,81.8,89.98807,7.0,2.670966,5.59
b'Andorra',2006,15.2036085,20.0,83.0,92.004845,7.0,2.8227775,4.97
b'Andorra',2007,15.172322,22.0,82.7,93.73012,7.0,2.7403638,4.92
b'Andorra',2008,15.259054,22.0,82.7,95.71921,5.0,2.727375,5.67
b'Andorra',2009,15.552909,23.0,82.8,97.69946,5.0,2.8877857,6.08
b'Andorra',2010,15.814057,22.0,82.8,99.392845,4.0,3.063975,7.68
b'Andorra',2011,15.166168,23.0,82.9,93.66909,4.0,3.0428977,7.62
