Entity,Code,Year,"Deaths that are from all causes attributed to air pollution in both sexes aged all ages"
Afghanistan,AFG,1990,37231.21
Afghanistan,AFG,1991,38314.742
Afghanistan,AFG,1992,41172.36
Afghanistan,AFG,1993,44487.586
Afghanistan,AFG,1994,46633.84
Afghanistan,AFG,1995,47566.395
Afghanistan,AFG,1996,48616.92
Afghanistan,AFG,1997,49702.926
Afghanistan,AFG,1998,49745.668
Afghanistan,AFG,1999,49348.86
Afghanistan,AFG,2000,48762.562
Afghanistan,AFG,2001,48659.824
Afghanistan,AFG,2002,47732.44
Afghanistan,AFG,2003,48686.883
Afghanistan,AFG,2004,48336.797
Afghanistan,AFG,2005,47107.3
Afghanistan,AFG,2006,45691.066
Afghanistan,AFG,2007,44161.254
Afghanistan,AFG,2008,42696.285
Afghanistan,AFG,2009,41348.305
Afghanistan,AFG,2010,40544.543
Afghanistan,AFG,2011,39893.324
Afghanistan,AFG,2012,39363.207
Afghanistan,AFG,2013,39187.14
Afghanistan,AFG,2014,38711.02
African Region (WHO),,1990,868865.56
African Region (WHO),,1991,877997.44
African Region (WHO),,1992,889898.1
African Region (WHO),,1993,898921.25
African Region (WHO),,1994,910657.2
African Region (WHO),,1995,922575.7
African Region (WHO),,1996,933426.75
African Region (WHO),,1997,943593.1
African Region (WHO),,1998,952548.7
African Region (WHO),,1999,958371.5
African Region (WHO),,2000,964294.7
African Region (WHO),,2001,962189.4
African Region (WHO),,2002,962116.2
African Region (WHO),,2003,958149.94
African Region (WHO),,2004,952948.06
African Region (WHO),,2005,948635.44
African Region (WHO),,2006,950086.2
African Region (WHO),,2007,944671
African Region (WHO),,2008,936936.94
African Region (WHO),,2009,932183.06
African Region (WHO),,2010,926694.4
African Region (WHO),,2011,922752.4
African Region (WHO),,2012,922904.7
African Region (WHO),,2013,923652.3
African Region (WHO),,2014,923884.75
Albania,ALB,1990,2964.7466
Albania,ALB,1991,3037.9163
Albania,ALB,1992,2928.1514
Albania,ALB,1993,2800.3262
Albania,ALB,1994,2632.2195
Albania,ALB,1995,2659.7341
Albania,ALB,1996,2684.9436
Albania,ALB,1997,2685.7163
Albania,ALB,1998,2661.3462
Albania,ALB,1999,2611.0303
Albania,ALB,2000,2536.665
Albania,ALB,2001,2416.0698
Albania,ALB,2002,2480.8923
Albania,ALB,2003,2595.1194
Albania,ALB,2004,2563.436
Albania,ALB,2005,2474.156
Albania,ALB,2006,2314.5327
Albania,ALB,2007,2191.796
Albania,ALB,2008,2199.2644
Albania,ALB,2009,2149.5298
Albania,ALB,2010,2130.475
Albania,ALB,2011,2157.0374
Albania,ALB,2012,2161.334
Albania,ALB,2013,2175.843
Albania,ALB,2014,2214.3867
Algeria,DZA,1990,14222.813
Algeria,DZA,1991,14437.318
Algeria,DZA,1992,14647.692
Algeria,DZA,1993,14898.784
Algeria,DZA,1994,15168.432
Algeria,DZA,1995,15368.095
Algeria,DZA,1996,15557.673
Algeria,DZA,1997,15817.631
Algeria,DZA,1998,16020.331
Algeria,DZA,1999,16477.896
Algeria,DZA,2000,16634.488
Algeria,DZA,2001,16672.674
Algeria,DZA,2002,16651.125
Algeria,DZA,2003,16587.582
Algeria,DZA,2004,16604.719
Algeria,DZA,2005,16604.648
Algeria,DZA,2006,16651.344
Algeria,DZA,2007,16694.322
Algeria,DZA,2008,16748.191
Algeria,DZA,2009,16922.734
Algeria,DZA,2010,17154.611
Algeria,DZA,2011,17633.037
Algeria,DZA,2012,18169.797
Algeria,DZA,2013,18803.111
Algeria,DZA,2014,19529.607
American Samoa,ASM,1990,15.416121
American Samoa,ASM,1991,15.291263
American Samoa,ASM,1992,15.112055
American Samoa,ASM,1993,14.875119
American Samoa,ASM,1994,14.640597
American Samoa,ASM,1995,14.427109
American Samoa,ASM,1996,14.333261
American Samoa,ASM,1997,14.328044
American Samoa,ASM,1998,14.34461
American Samoa,ASM,1999,14.35553
American Samoa,ASM,2000,14.12046
American Samoa,ASM,2001,13.988691
American Samoa,ASM,2002,13.839958
American Samoa,ASM,2003,13.634705
American Samoa,ASM,2004,13.485196
American Samoa,ASM,2005,13.428073
American Samoa,ASM,2006,13.584761
American Samoa,ASM,2007,13.661563
American Samoa,ASM,2008,13.868043
American Samoa,ASM,2009,14.030662
American Samoa,ASM,2010,14.045568
American Samoa,ASM,2011,14.087269
American Samoa,ASM,2012,14.014748
American Samoa,ASM,2013,13.984227
American Samoa,ASM,2014,13.86673
Andorra,AND,1990,10.203637
Andorra,AND,1991,10.472077
Andorra,AND,1992,10.818772
Andorra,AND,1993,11.265745
Andorra,AND,1994,11.601949
Andorra,AND,1995,11.987379
Andorra,AND,1996,12.313697
Andorra,AND,1997,12.73312
Andorra,AND,1998,13.188112
Andorra,AND,1999,13.793981
Andorra,AND,2000,14.345646
Andorra,AND,2001,14.567137
Andorra,AND,2002,14.862954
Andorra,AND,2003,14.864876
Andorra,AND,2004,15.038736
Andorra,AND,2005,14.994022
Andorra,AND,2006,15.2036085
Andorra,AND,2007,15.172322
Andorra,AND,2008,15.259054
Andorra,AND,2009,15.552909
Andorra,AND,2010,15.814057
Andorra,AND,2011,15.166168
Andorra,AND,2012,14.965033
Andorra,AND,2013,15.047664
Andorra,AND,2014,14.923492
Angola,AGO,1990,20506.209
Angola,AGO,1991,20780.395
Angola,AGO,1992,21074.305
Angola,AGO,1993,21536.809
Angola,AGO,1994,21903.447
Angola,AGO,1995,22062.738
Angola,AGO,1996,21938.912
Angola,AGO,1997,21920.395
Angola,AGO,1998,22097.979
Angola,AGO,1999,22116.422
Angola,AGO,2000,22005.316
Angola,AGO,2001,21690.447
Angola,AGO,2002,21252.69
Angola,AGO,2003,20977.383
Angola,AGO,2004,21139.709
Angola,AGO,2005,20631.969
Angola,AGO,2006,20308.469
Angola,AGO,2007,19830.48
Angola,AGO,2008,19415.164
Angola,AGO,2009,18851.969
Angola,AGO,2010,18450.408
Angola,AGO,2011,17903.29
Angola,AGO,2012,17399.152
Angola,AGO,2013,16745.467
Angola,AGO,2014,15972.35
Antigua and Barbuda,ATG,1990,26.070961
Antigua and Barbuda,ATG,1991,26.507338
Antigua and Barbuda,ATG,1992,26.83116
Antigua and Barbuda,ATG,1993,28.59746
Antigua and Barbuda,ATG,1994,28.633568
Antigua and Barbuda,ATG,1995,28.735638
Antigua and Barbuda,ATG,1996,26.979195
Antigua and Barbuda,ATG,1997,26.478777
Antigua and Barbuda,ATG,1998,26.134575
Antigua and Barbuda,ATG,1999,25.92461
Antigua and Barbuda,ATG,2000,25.488443
Antigua and Barbuda,ATG,2001,25.133356
Antigua and Barbuda,ATG,2002,24.435074
Antigua and Barbuda,ATG,2003,23.876251
Antigua and Barbuda,ATG,2004,23.431334
Antigua and Barbuda,ATG,2005,23.288155
Antigua and Barbuda,ATG,2006,23.648554
Antigua and Barbuda,ATG,2007,26.228287
Antigua and Barbuda,ATG,2008,26.417086
Antigua and Barbuda,ATG,2009,25.03032
Antigua and Barbuda,ATG,2010,25.412973
Antigua and Barbuda,ATG,2011,25.973497
Antigua and Barbuda,ATG,2012,26.483662
Antigua and Barbuda,ATG,2013,27.297592
Antigua and Barbuda,ATG,2014,28.574537
Argentina,ARG,1990,15551.815
Argentina,ARG,1991,15387.7295
Argentina,ARG,1992,15446.522
Argentina,ARG,1993,15187.53
Argentina,ARG,1994,14749.635
Argentina,ARG,1995,14722.485
Argentina,ARG,1996,14607.116
Argentina,ARG,1997,14420.167
Argentina,ARG,1998,14387.952
Argentina,ARG,1999,14220.574
Argentina,ARG,2000,13503.675
Argentina,ARG,2001,13292.889
Argentina,ARG,2002,13270.611
Argentina,ARG,2003,13168.859
Argentina,ARG,2004,12668.311
Argentina,ARG,2005,12377.924
Argentina,ARG,2006,12381.62
Argentina,ARG,2007,12777.131
Argentina,ARG,2008,12462.043
Argentina,ARG,2009,12583.174
Argentina,ARG,2010,12889.015
Argentina,ARG,2011,13162.143
Argentina,ARG,2012,13401.032
Argentina,ARG,2013,13655.952
Argentina,ARG,2014,13815.207
Armenia,ARM,1990,3163.9932
Armenia,ARM,1991,3314.3804
Armenia,ARM,1992,3638.4746
Armenia,ARM,1993,3786.8416
Armenia,ARM,1994,3612.8757
Armenia,ARM,1995,3596.9958
Armenia,ARM,1996,3628.2385
Armenia,ARM,1997,3495.4878
Armenia,ARM,1998,3462.946
Armenia,ARM,1999,3494.2734
Armenia,ARM,2000,3477.4976
Armenia,ARM,2001,3545.1743
Armenia,ARM,2002,3581.4844
Armenia,ARM,2003,3627.7004
Armenia,ARM,2004,3573.2947
Armenia,ARM,2005,3608.727
Armenia,ARM,2006,3665.2004
Armenia,ARM,2007,3613.0356
Armenia,ARM,2008,3644.028
Armenia,ARM,2009,3594.6294
Armenia,ARM,2010,3561.9587
Armenia,ARM,2011,3548.2896
Armenia,ARM,2012,3498.7869
Armenia,ARM,2013,3405.9788
Armenia,ARM,2014,3400.5996
Australia,AUS,1990,2555.0435
Australia,AUS,1991,2479.75
Australia,AUS,1992,2460.7239
Australia,AUS,1993,2410.581
Australia,AUS,1994,2412.8896
Australia,AUS,1995,2369.7256
Australia,AUS,1996,2361.1235
Australia,AUS,1997,2318.4834
Australia,AUS,1998,2260.6797
Australia,AUS,1999,2201.7393
Australia,AUS,2000,2148.649
Australia,AUS,2001,2105.3694
Australia,AUS,2002,2049.0156
Australia,AUS,2003,1954.5947
Australia,AUS,2004,1839.8363
Australia,AUS,2005,1767.7323
Australia,AUS,2006,1737.6324
Australia,AUS,2007,1738.3768
Australia,AUS,2008,1727.4307
Australia,AUS,2009,1682.3602
Australia,AUS,2010,1662.3882
Australia,AUS,2011,1673.9097
Australia,AUS,2012,1674.0295
Australia,AUS,2013,1685.971
Australia,AUS,2014,1725.3663
Austria,AUT,1990,5409.7993
Austria,AUT,1991,5398.1123
Austria,AUT,1992,5324.243
Austria,AUT,1993,5229.63
Austria,AUT,1994,5074.836
Austria,AUT,1995,5021.585
Austria,AUT,1996,4922.2256
Austria,AUT,1997,4708.9688
Austria,AUT,1998,4514.842
Austria,AUT,1999,4340.0215
Austria,AUT,2000,4165.0464
Austria,AUT,2001,4003.8833
Austria,AUT,2002,3982.3013
Austria,AUT,2003,3928.538
Austria,AUT,2004,3787.4756
Austria,AUT,2005,3702.0557
Austria,AUT,2006,3596.647
Austria,AUT,2007,3540.8857
Austria,AUT,2008,3458.848
Austria,AUT,2009,3442.7341
Austria,AUT,2010,3375.7441
Austria,AUT,2011,3302.7246
Austria,AUT,2012,3237.5208
Austria,AUT,2013,3126.1545
Austria,AUT,2014,3010.6816
Azerbaijan,AZE,1990,7967.642
Azerbaijan,AZE,1991,8329.459
Azerbaijan,AZE,1992,8795.762
Azerbaijan,AZE,1993,9166.122
Azerbaijan,AZE,1994,9442.764
Azerbaijan,AZE,1995,9312.342
Azerbaijan,AZE,1996,9099.53
Azerbaijan,AZE,1997,8747.6045
Azerbaijan,AZE,1998,8497.704
Azerbaijan,AZE,1999,8296.389
Azerbaijan,AZE,2000,8076.571
Azerbaijan,AZE,2001,7842.4497
Azerbaijan,AZE,2002,7768.115
Azerbaijan,AZE,2003,7812.4556
Azerbaijan,AZE,2004,7766.564
Azerbaijan,AZE,2005,7920.0005
Azerbaijan,AZE,2006,8005.622
Azerbaijan,AZE,2007,7998.9814
Azerbaijan,AZE,2008,8103.047
Azerbaijan,AZE,2009,8177.4297
Azerbaijan,AZE,2010,8249.802
Azerbaijan,AZE,2011,8378.995
Azerbaijan,AZE,2012,8486.982
Azerbaijan,AZE,2013,8562.831
Azerbaijan,AZE,2014,8673.274
Bahamas,BHS,1990,68.26683
Bahamas,BHS,1991,69.14763
Bahamas,BHS,1992,70.20711
Bahamas,BHS,1993,72.015335
Bahamas,BHS,1994,73.31376
Bahamas,BHS,1995,74.420265
Bahamas,BHS,1996,77.7682
Bahamas,BHS,1997,77.053444
Bahamas,BHS,1998,78.12212
Bahamas,BHS,1999,81.161125
Bahamas,BHS,2000,78.63477
Bahamas,BHS,2001,80.0185
Bahamas,BHS,2002,77.50704
Bahamas,BHS,2003,77.61327
Bahamas,BHS,2004,78.27213
Bahamas,BHS,2005,75.88166
Bahamas,BHS,2006,77.06186
Bahamas,BHS,2007,74.99885
Bahamas,BHS,2008,76.524315
Bahamas,BHS,2009,79.61761
Bahamas,BHS,2010,80.67775
Bahamas,BHS,2011,82.72521
Bahamas,BHS,2012,84.54046
Bahamas,BHS,2013,86.855965
Bahamas,BHS,2014,89.99078
Bahrain,BHR,1990,320.61954
Bahrain,BHR,1991,327.12045
Bahrain,BHR,1992,328.71527
Bahrain,BHR,1993,325.7626
Bahrain,BHR,1994,327.43954
Bahrain,BHR,1995,333.27927
Bahrain,BHR,1996,340.7023
Bahrain,BHR,1997,345.16812
Bahrain,BHR,1998,353.22394
Bahrain,BHR,1999,362.57086
Bahrain,BHR,2000,339.65872
Bahrain,BHR,2001,318.20712
Bahrain,BHR,2002,357.13345
Bahrain,BHR,2003,397.56448
Bahrain,BHR,2004,410.80746
Bahrain,BHR,2005,416.88626
Bahrain,BHR,2006,417.66815
Bahrain,BHR,2007,419.29187
Bahrain,BHR,2008,423.19458
Bahrain,BHR,2009,427.01355
Bahrain,BHR,2010,434.6229
Bahrain,BHR,2011,442.6323
Bahrain,BHR,2012,450.8677
Bahrain,BHR,2013,458.3694
Bahrain,BHR,2014,471.81122
Bangladesh,BGD,1990,189794.95
Bangladesh,BGD,1991,179651.66
Bangladesh,BGD,1992,176502.33
Bangladesh,BGD,1993,172532.06
Bangladesh,BGD,1994,168986.22
Bangladesh,BGD,1995,168345.53
Bangladesh,BGD,1996,164775.86
Bangladesh,BGD,1997,161146.92
Bangladesh,BGD,1998,158851.69
Bangladesh,BGD,1999,157848.22
Bangladesh,BGD,2000,159196.4
Bangladesh,BGD,2001,158355.19
Bangladesh,BGD,2002,160499.25
Bangladesh,BGD,2003,162577.42
Bangladesh,BGD,2004,163093.61
Bangladesh,BGD,2005,165734.73
Bangladesh,BGD,2006,168249.78
Bangladesh,BGD,2007,168349.55
Bangladesh,BGD,2008,165927.9
Bangladesh,BGD,2009,165122.73
Bangladesh,BGD,2010,166128.42
Bangladesh,BGD,2011,158412.86
Bangladesh,BGD,2012,152623.83
Bangladesh,BGD,2013,153262.7
Bangladesh,BGD,2014,157812.69
Barbados,BRB,1990,152.1085
Barbados,BRB,1991,150.667
Barbados,BRB,1992,154.86766
Barbados,BRB,1993,156.57431
Barbados,BRB,1994,157.65506
Barbados,BRB,1995,157.08662
Barbados,BRB,1996,155.19315
Barbados,BRB,1997,154.5911
Barbados,BRB,1998,150.98749
Barbados,BRB,1999,145.33064
Barbados,BRB,2000,145.16531
Barbados,BRB,2001,138.63692
Barbados,BRB,2002,140.12056
Barbados,BRB,2003,141.19447
Barbados,BRB,2004,137.67111
Barbados,BRB,2005,132.59718
Barbados,BRB,2006,132.57655
Barbados,BRB,2007,133.34322
Barbados,BRB,2008,132.36723
Barbados,BRB,2009,129.36545
Barbados,BRB,2010,130.49918
Barbados,BRB,2011,134.41388
Barbados,BRB,2012,137.69641
Barbados,BRB,2013,144.68965
Barbados,BRB,2014,152.0552
Belarus,BLR,1990,11707.597
Belarus,BLR,1991,12024.587
Belarus,BLR,1992,12255.881
Belarus,BLR,1993,13289.436
Belarus,BLR,1994,13312.536
Belarus,BLR,1995,13698.158
Belarus,BLR,1996,13471.739
Belarus,BLR,1997,13518.319
Belarus,BLR,1998,13614.475
Belarus,BLR,1999,13884.376
Belarus,BLR,2000,13133.4795
Belarus,BLR,2001,13684.84
Belarus,BLR,2002,14275.211
Belarus,BLR,2003,13770.133
Belarus,BLR,2004,13418.36
Belarus,BLR,2005,13607.133
Belarus,BLR,2006,13178.774
Belarus,BLR,2007,12636.441
Belarus,BLR,2008,12703.72
Belarus,BLR,2009,12890.856
Belarus,BLR,2010,13003.689
Belarus,BLR,2011,13075.62
Belarus,BLR,2012,11457.6045
Belarus,BLR,2013,10926.386
Belarus,BLR,2014,10344.606
Belgium,BEL,1990,7211.739
Belgium,BEL,1991,7014.63
Belgium,BEL,1992,6831.555
Belgium,BEL,1993,6804.125
Belgium,BEL,1994,6629.2476
Belgium,BEL,1995,6581.3276
Belgium,BEL,1996,6425.4443
Belgium,BEL,1997,6231.4795
Belgium,BEL,1998,6101.2686
Belgium,BEL,1999,5917.598
Belgium,BEL,2000,5745.0005
Belgium,BEL,2001,5496.247
Belgium,BEL,2002,5484.7036
Belgium,BEL,2003,5319.706
Belgium,BEL,2004,5069.089
Belgium,BEL,2005,4928.686
Belgium,BEL,2006,4800.341
Belgium,BEL,2007,4853.673
Belgium,BEL,2008,4922.455
