Entity,Code,Year,Deaths from Infectious diseases
Afghanistan,AFG,1990,57148
Afghanistan,AFG,1991,59643
Afghanistan,AFG,1992,65320
Afghanistan,AFG,1993,73219
Afghanistan,AFG,1994,79205
Afghanistan,AFG,1995,84173
Afghanistan,AFG,1996,86804
Afghanistan,AFG,1997,88647
Afghanistan,AFG,1998,89604
Afghanistan,AFG,1999,88872
Afghanistan,AFG,2000,88177
Afghanistan,AFG,2001,86980
Afghanistan,AFG,2002,89067
Afghanistan,AFG,2003,78786
Afghanistan,AFG,2004,73711
Afghanistan,AFG,2005,70774
Afghanistan,AFG,2006,67383
Afghanistan,AFG,2007,63954
Afghanistan,AFG,2008,62075
Afghanistan,AFG,2009,59703
Afghanistan,AFG,2010,56661
Afghanistan,AFG,2011,54724
Afghanistan,AFG,2012,52807
Afghanistan,AFG,2013,49844
Afghanistan,AFG,2014,48031
African Region (WHO),,1990,3859733
African Region (WHO),,1991,3987338
African Region (WHO),,1992,4091376
African Region (WHO),,1993,4213409
African Region (WHO),,1994,4373652
African Region (WHO),,1995,4520324
African Region (WHO),,1996,4691417
African Region (WHO),,1997,4812734
African Region (WHO),,1998,4934156
African Region (WHO),,1999,5042802
African Region (WHO),,2000,5139817
African Region (WHO),,2001,5205300
African Region (WHO),,2002,5225950
African Region (WHO),,2003,5245604
African Region (WHO),,2004,5205145
African Region (WHO),,2005,5115756
African Region (WHO),,2006,4989831
African Region (WHO),,2007,4839407
African Region (WHO),,2008,4685506
African Region (WHO),,2009,4539450
African Region (WHO),,2010,4397632
African Region (WHO),,2011,4242153
African Region (WHO),,2012,4087334
African Region (WHO),,2013,3947930
African Region (WHO),,2014,3848070
Albania,ALB,1990,2767
Albania,ALB,1991,2634
Albania,ALB,1992,2530
Albania,ALB,1993,2379
Albania,ALB,1994,2188
Albania,ALB,1995,1960
Albania,ALB,1996,1773
Albania,ALB,1997,1598
Albania,ALB,1998,1450
Albania,ALB,1999,1265
Albania,ALB,2000,1097
Albania,ALB,2001,948
Albania,ALB,2002,868
Albania,ALB,2003,816
Albania,ALB,2004,742
Albania,ALB,2005,668
Albania,ALB,2006,592
Albania,ALB,2007,532
Albania,ALB,2008,500
Albania,ALB,2009,471
Albania,ALB,2010,461
Albania,ALB,2011,466
Albania,ALB,2012,477
Albania,ALB,2013,491
Albania,ALB,2014,510
Algeria,DZA,1990,18240
Algeria,DZA,1991,17081
Algeria,DZA,1992,16226
Algeria,DZA,1993,15515
Algeria,DZA,1994,14814
Algeria,DZA,1995,14065
