Entity,Code,Year,Deaths that are from all causes attributed to smoking
Afghanistan,AFG,1990,5174.313
Afghanistan,AFG,1991,5246.9497
Afghanistan,AFG,1992,5363.3354
Afghanistan,AFG,1993,5522.3994
Afghanistan,AFG,1994,5688.7485
Afghanistan,AFG,1995,5800.6177
Afghanistan,AFG,1996,5934.1523
Afghanistan,AFG,1997,6065.6665
Afghanistan,AFG,1998,6177.6875
Afghanistan,AFG,1999,6288.3413
Afghanistan,AFG,2000,6377.8887
Afghanistan,AFG,2001,6505.155
Afghanistan,AFG,2002,6487.9395
Afghanistan,AFG,2003,6527.653
Afghanistan,AFG,2004,6594.475
Afghanistan,AFG,2005,6635.9478
Afghanistan,AFG,2006,6720.0693
Afghanistan,AFG,2007,6849.35
Afghanistan,AFG,2008,7026.1265
Afghanistan,AFG,2009,7181.1147
Afghanistan,AFG,2010,7339.67
Afghanistan,AFG,2011,7571.6855
Afghanistan,AFG,2012,7855.574
Afghanistan,AFG,2013,8123.7925
Afghanistan,AFG,2014,8428.712
African Region (WHO),,1990,175453.8
African Region (WHO),,1991,179235.25
African Region (WHO),,1992,183930.73
African Region (WHO),,1993,185843.22
African Region (WHO),,1994,190794.3
African Region (WHO),,1995,195920.84
African Region (WHO),,1996,201739.1
African Region (WHO),,1997,209218.48
African Region (WHO),,1998,213098.33
African Region (WHO),,1999,212744.42
African Region (WHO),,2000,215528.9
African Region (WHO),,2001,214909.25
African Region (WHO),,2002,215497.94
African Region (WHO),,2003,216621.47
African Region (WHO),,2004,216528.17
African Region (WHO),,2005,216048.89
African Region (WHO),,2006,217166.77
African Region (WHO),,2007,216340.03
African Region (WHO),,2008,216665.84
African Region (WHO),,2009,217700.78
African Region (WHO),,2010,218518
African Region (WHO),,2011,219104.23
African Region (WHO),,2012,220368.58
African Region (WHO),,2013,221841.03
African Region (WHO),,2014,224484.94
Albania,ALB,1990,2751.6006
Albania,ALB,1991,2809.0579
Albania,ALB,1992,2705.3171
Albania,ALB,1993,2603.1292
Albania,ALB,1994,2452.9595
Albania,ALB,1995,2550.0374
Albania,ALB,1996,2674.3691
Albania,ALB,1997,2744.9543
Albania,ALB,1998,2788.3816
Albania,ALB,1999,2794.6804
Albania,ALB,2000,2831.889
Albania,ALB,2001,2767.937
Albania,ALB,2002,2897.9949
Albania,ALB,2003,3100.1785
Albania,ALB,2004,3166.1003
Albania,ALB,2005,3108.3745
Albania,ALB,2006,2973.473
Albania,ALB,2007,2899.2192
Albania,ALB,2008,3010.7542
Albania,ALB,2009,3061.293
Albania,ALB,2010,3147.2642
Albania,ALB,2011,3301.942
Albania,ALB,2012,3411.2158
Albania,ALB,2013,3543.6035
Albania,ALB,2014,3741.2747
Algeria,DZA,1990,13779.92
Algeria,DZA,1991,14233.036
Algeria,DZA,1992,14540.913
Algeria,DZA,1993,14827.082
Algeria,DZA,1994,15078.419
Algeria,DZA,1995,15269.932
Algeria,DZA,1996,15363.95
Algeria,DZA,1997,15419.513
Algeria,DZA,1998,15442.409
Algeria,DZA,1999,15611.044
Algeria,DZA,2000,15654.23
Algeria,DZA,2001,15698.557
Algeria,DZA,2002,15761.597
Algeria,DZA,2003,15843.926
Algeria,DZA,2004,15979.762
Algeria,DZA,2005,16143.619
Algeria,DZA,2006,16306.281
Algeria,DZA,2007,16512.639
Algeria,DZA,2008,16732.793
Algeria,DZA,2009,17014.246
Algeria,DZA,2010,17237.574
Algeria,DZA,2011,17594.926
Algeria,DZA,2012,17978.12
Algeria,DZA,2013,18318.133
Algeria,DZA,2014,18740.156
American Samoa,ASM,1990,33.550743
American Samoa,ASM,1991,34.745083
American Samoa,ASM,1992,35.743843
American Samoa,ASM,1993,36.49441
American Samoa,ASM,1994,37.45542
American Samoa,ASM,1995,38.31633
American Samoa,ASM,1996,39.243286
American Samoa,ASM,1997,40.16044
American Samoa,ASM,1998,41.14374
American Samoa,ASM,1999,42.269318
American Samoa,ASM,2000,42.606495
American Samoa,ASM,2001,43.32753
American Samoa,ASM,2002,43.995724
American Samoa,ASM,2003,44.51052
American Samoa,ASM,2004,44.87876
American Samoa,ASM,2005,45.161484
American Samoa,ASM,2006,45.741577
American Samoa,ASM,2007,46.193954
American Samoa,ASM,2008,47.054523
American Samoa,ASM,2009,47.867283
American Samoa,ASM,2010,48.18708
American Samoa,ASM,2011,48.70226
American Samoa,ASM,2012,49.375134
American Samoa,ASM,2013,50.34144
American Samoa,ASM,2014,51.14592
Andorra,AND,1990,59.971134
Andorra,AND,1991,63.211082
Andorra,AND,1992,66.96454
Andorra,AND,1993,70.824005
Andorra,AND,1994,72.44682
Andorra,AND,1995,73.61649
Andorra,AND,1996,74.87549
Andorra,AND,1997,76.316605
Andorra,AND,1998,77.65407
Andorra,AND,1999,78.846886
Andorra,AND,2000,80.70329
Andorra,AND,2001,82.43426
Andorra,AND,2002,84.39883
Andorra,AND,2003,86.83223
Andorra,AND,2004,89.10217
Andorra,AND,2005,89.98807
Andorra,AND,2006,92.004845
Andorra,AND,2007,93.73012
Andorra,AND,2008,95.71921
Andorra,AND,2009,97.69946
Andorra,AND,2010,99.392845
Andorra,AND,2011,93.66909
Andorra,AND,2012,91.98637
Andorra,AND,2013,93.36005
Andorra,AND,2014,94.85725
Angola,AGO,1990,4506.5513
Angola,AGO,1991,4613.45
Angola,AGO,1992,4732.2505
Angola,AGO,1993,4916.1255
Angola,AGO,1994,5084.612
Angola,AGO,1995,5178.1255
Angola,AGO,1996,5151.3354
Angola,AGO,1997,5197.7285
Angola,AGO,1998,5368.583
Angola,AGO,1999,5483.752
Angola,AGO,2000,5560.7803
Angola,AGO,2001,5568.221
Angola,AGO,2002,5440.367
Angola,AGO,2003,5459.851
Angola,AGO,2004,5596.9497
Angola,AGO,2005,5535.6436
Angola,AGO,2006,5662.1196
Angola,AGO,2007,5703.746
Angola,AGO,2008,5792.02
Angola,AGO,2009,5904.1743
Angola,AGO,2010,6005.295
Angola,AGO,2011,6158.308
Angola,AGO,2012,6351.417
Angola,AGO,2013,6477.1543
Angola,AGO,2014,6489.091
Antigua and Barbuda,ATG,1990,24.408165
Antigua and Barbuda,ATG,1991,24.667093
Antigua and Barbuda,ATG,1992,25.163893
Antigua and Barbuda,ATG,1993,26.775331
Antigua and Barbuda,ATG,1994,27.063538
Antigua and Barbuda,ATG,1995,27.474203
Antigua and Barbuda,ATG,1996,25.24763
Antigua and Barbuda,ATG,1997,24.806486
Antigua and Barbuda,ATG,1998,24.77663
Antigua and Barbuda,ATG,1999,24.993769
Antigua and Barbuda,ATG,2000,25.221628
Antigua and Barbuda,ATG,2001,25.219118
Antigua and Barbuda,ATG,2002,25.315311
Antigua and Barbuda,ATG,2003,25.649435
Antigua and Barbuda,ATG,2004,26.000685
Antigua and Barbuda,ATG,2005,26.45098
Antigua and Barbuda,ATG,2006,27.456722
