Entity,Code,Year,Under fifteen mortality - Number of deaths 
Afghanistan,AFG,1990,102541
Afghanistan,AFG,1991,99313
Afghanistan,AFG,1992,96952
Afghanistan,AFG,1993,102855
Afghanistan,AFG,1994,112226
Afghanistan,AFG,1995,119091
Afghanistan,AFG,1996,123324
Afghanistan,AFG,1997,125969
Afghanistan,AFG,1998,129246
Afghanistan,AFG,1999,128377
Afghanistan,AFG,2000,128633
Afghanistan,AFG,2001,125683
Afghanistan,AFG,2002,121967
Afghanistan,AFG,2003,122903
Afghanistan,AFG,2004,124230
Afghanistan,AFG,2005,122306
Afghanistan,AFG,2006,120657
Afghanistan,AFG,2007,119635
Afghanistan,AFG,2008,114615
Afghanistan,AFG,2009,109827
Afghanistan,AFG,2010,107214
Afghanistan,AFG,2011,103661
Afghanistan,AFG,2012,101200
Afghanistan,AFG,2013,99407
Afghanistan,AFG,2014,96776
Albania,ALB,1990,3762
Albania,ALB,1991,3542
Albania,ALB,1992,3329
Albania,ALB,1993,3131
Albania,ALB,1994,2959
Albania,ALB,1995,2804
Albania,ALB,1996,2621
Albania,ALB,1997,2477
Albania,ALB,1998,2191
Albania,ALB,1999,1996
Albania,ALB,2000,1813
Albania,ALB,2001,1630
Albania,ALB,2002,1457
Albania,ALB,2003,1306
Albania,ALB,2004,1169
Albania,ALB,2005,1034
Albania,ALB,2006,910
Albania,ALB,2007,804
Albania,ALB,2008,718
Albania,ALB,2009,647
Albania,ALB,2010,589
Albania,ALB,2011,540
Albania,ALB,2012,500
Albania,ALB,2013,468
Albania,ALB,2014,440
Algeria,DZA,1990,47729
Algeria,DZA,1991,46639
Algeria,DZA,1992,46160
Algeria,DZA,1993,45362
Algeria,DZA,1994,44000
Algeria,DZA,1995,41522
Algeria,DZA,1996,38358
Algeria,DZA,1997,35474
Algeria,DZA,1998,32950
Algeria,DZA,1999,31081
Algeria,DZA,2000,29727
Algeria,DZA,2001,28526
Algeria,DZA,2002,27434
Algeria,DZA,2003,27122
Algeria,DZA,2004,26308
Algeria,DZA,2005,26018
Algeria,DZA,2006,25813
Algeria,DZA,2007,25757
Algeria,DZA,2008,25871
Algeria,DZA,2009,26030
Algeria,DZA,2010,26167
Algeria,DZA,2011,26348
Algeria,DZA,2012,26749
Algeria,DZA,2013,27066
Algeria,DZA,2014,27284
Andorra,AND,1990,10
Andorra,AND,1991,10
Andorra,AND,1992,10
Andorra,AND,1993,10
Andorra,AND,1994,9
Andorra,AND,1995,9
Andorra,AND,1996,9
Andorra,AND,1997,9
Andorra,AND,1998,8
Andorra,AND,1999,8
Andorra,AND,2000,8
Andorra,AND,2001,7
Andorra,AND,2002,7
Andorra,AND,2003,7
Andorra,AND,2004,7
Andorra,AND,2005,7
Andorra,AND,2006,7
Andorra,AND,2007,7
Andorra,AND,2008,5
Andorra,AND,2009,5
Andorra,AND,2010,4
Andorra,AND,2011,4
Andorra,AND,2012,3
Andorra,AND,2013,3
Andorra,AND,2014,3
Angola,AGO,1990,146974
Angola,AGO,1991,148603
Angola,AGO,1992,155798
Angola,AGO,1993,156724
Angola,AGO,1994,160527
Angola,AGO,1995,164013
Angola,AGO,1996,167185
Angola,AGO,1997,169407
Angola,AGO,1998,170870
Angola,AGO,1999,171847
Angola,AGO,2000,172249
Angola,AGO,2001,171864
Angola,AGO,2002,170811
Angola,AGO,2003,168839
Angola,AGO,2004,165870
Angola,AGO,2005,162231
Angola,AGO,2006,157983
Angola,AGO,2007,152917
Angola,AGO,2008,147494
Angola,AGO,2009,142158
Angola,AGO,2010,136811
Angola,AGO,2011,131734
Angola,AGO,2012,126735
Angola,AGO,2013,122270
Angola,AGO,2014,118808
Anguilla,AIA,1990,3
Anguilla,AIA,1991,2
Anguilla,AIA,1992,2
Anguilla,AIA,1993,2
Anguilla,AIA,1994,2
Anguilla,AIA,1995,2
Anguilla,AIA,1996,2
Anguilla,AIA,1997,2
Anguilla,AIA,1998,2
Anguilla,AIA,1999,2
Anguilla,AIA,2000,2
Anguilla,AIA,2001,2
Anguilla,AIA,2002,1
Anguilla,AIA,2003,1
Anguilla,AIA,2004,1
Anguilla,AIA,2005,1
Anguilla,AIA,2006,1
Anguilla,AIA,2007,1
Anguilla,AIA,2008,1
Anguilla,AIA,2009,1
Anguilla,AIA,2010,1
Anguilla,AIA,2011,1
Anguilla,AIA,2012,1
Anguilla,AIA,2013,1
Anguilla,AIA,2014,1
Antigua and Barbuda,ATG,1990,23
Antigua and Barbuda,ATG,1991,22
Antigua and Barbuda,ATG,1992,22
Antigua and Barbuda,ATG,1993,23
Antigua and Barbuda,ATG,1994,23
Antigua and Barbuda,ATG,1995,24
Antigua and Barbuda,ATG,1996,26
Antigua and Barbuda,ATG,1997,27
Antigua and Barbuda,ATG,1998,26
Antigua and Barbuda,ATG,1999,25
Antigua and Barbuda,ATG,2000,26
Antigua and Barbuda,ATG,2001,25
Antigua and Barbuda,ATG,2002,24
Antigua and Barbuda,ATG,2003,23
Antigua and Barbuda,ATG,2004,21
Antigua and Barbuda,ATG,2005,20
Antigua and Barbuda,ATG,2006,20
