Entity,Code,Year,Deaths that are from all causes attributed to ambient ozone pollution
Afghanistan,AFG,1990,387.40778
Afghanistan,AFG,1991,375.74197
Afghanistan,AFG,1992,363.53348
Afghanistan,AFG,1993,367.1182
Afghanistan,AFG,1994,386.7526
Afghanistan,AFG,1995,405.7147
Afghanistan,AFG,1996,409.06934
Afghanistan,AFG,1997,418.64206
Afghanistan,AFG,1998,434.3152
Afghanistan,AFG,1999,465.71017
Afghanistan,AFG,2000,478.59872
Afghanistan,AFG,2001,458.04956
Afghanistan,AFG,2002,430.32092
Afghanistan,AFG,2003,447.9483
Afghanistan,AFG,2004,446.78104
Afghanistan,AFG,2005,442.95218
Afghanistan,AFG,2006,425.64322
Afghanistan,AFG,2007,487.6529
Afghanistan,AFG,2008,514.14514
Afghanistan,AFG,2009,477.79248
Afghanistan,AFG,2010,422.43604
Afghanistan,AFG,2011,403.22464
Afghanistan,AFG,2012,418.89972
Afghanistan,AFG,2013,433.21323
Afghanistan,AFG,2014,413.5886
African Region (WHO),,1990,2971.3318
African Region (WHO),,1991,3066.2625
African Region (WHO),,1992,2997.239
African Region (WHO),,1993,2957.7156
African Region (WHO),,1994,2828.3591
African Region (WHO),,1995,2883.434
African Region (WHO),,1996,2848.584
African Region (WHO),,1997,2979.2532
African Region (WHO),,1998,2969.0737
African Region (WHO),,1999,3148.0254
African Region (WHO),,2000,2582.4675
African Region (WHO),,2001,2440.598
African Region (WHO),,2002,2081.9734
African Region (WHO),,2003,2267.9216
African Region (WHO),,2004,2879.684
African Region (WHO),,2005,3898.613
African Region (WHO),,2006,5266.905
African Region (WHO),,2007,5095.0757
African Region (WHO),,2008,4309.6885
African Region (WHO),,2009,3698.0864
African Region (WHO),,2010,4026.714
African Region (WHO),,2011,4689.9985
African Region (WHO),,2012,5181.9316
African Region (WHO),,2013,5988.302
African Region (WHO),,2014,6079.3906
Albania,ALB,1990,79.431564
Albania,ALB,1991,73.71135
Albania,ALB,1992,69.98115
Albania,ALB,1993,68.43998
Albania,ALB,1994,65.98305
Albania,ALB,1995,63.413418
Albania,ALB,1996,58.83254
Albania,ALB,1997,59.78211
Albania,ALB,1998,53.19539
Albania,ALB,1999,46.39912
Albania,ALB,2000,39.061966
Albania,ALB,2001,37.968166
Albania,ALB,2002,46.10592
Albania,ALB,2003,53.845936
Albania,ALB,2004,56.29612
Albania,ALB,2005,52.391483
Albania,ALB,2006,46.854786
Albania,ALB,2007,45.829433
Albania,ALB,2008,43.59937
Albania,ALB,2009,40.571438
Albania,ALB,2010,34.508976
Albania,ALB,2011,34.17902
Albania,ALB,2012,35.68106
Albania,ALB,2013,37.008152
Albania,ALB,2014,37.46851
Algeria,DZA,1990,218.97688
Algeria,DZA,1991,232.44534
Algeria,DZA,1992,231.70526
Algeria,DZA,1993,247.26488
Algeria,DZA,1994,254.08092
Algeria,DZA,1995,276.9673
Algeria,DZA,1996,273.4454
Algeria,DZA,1997,276.86954
Algeria,DZA,1998,267.38306
Algeria,DZA,1999,340.041
Algeria,DZA,2000,358.90515
Algeria,DZA,2001,362.16498
Algeria,DZA,2002,341.05692
Algeria,DZA,2003,340.15823
Algeria,DZA,2004,353.94046
Algeria,DZA,2005,322.76013
Algeria,DZA,2006,325.06146
Algeria,DZA,2007,332.09586
Algeria,DZA,2008,343.78687
Algeria,DZA,2009,385.96564
Algeria,DZA,2010,412.72217
Algeria,DZA,2011,430.3664
Algeria,DZA,2012,421.623
Algeria,DZA,2013,469.07364
Algeria,DZA,2014,499.41202
American Samoa,ASM,1990,0.22422339
American Samoa,ASM,1991,0.29966772
American Samoa,ASM,1992,0.3842596
American Samoa,ASM,1993,0.4619658
American Samoa,ASM,1994,0.4001079
American Samoa,ASM,1995,0.32310665
American Samoa,ASM,1996,0.32766777
American Samoa,ASM,1997,0.4203432
American Samoa,ASM,1998,0.51570016
American Samoa,ASM,1999,0.5219269
American Samoa,ASM,2000,0.42856577
American Samoa,ASM,2001,0.39955884
American Samoa,ASM,2002,0.3953999
American Samoa,ASM,2003,0.36892772
American Samoa,ASM,2004,0.37202588
American Samoa,ASM,2005,0.36331207
American Samoa,ASM,2006,0.42989793
American Samoa,ASM,2007,0.41995597
American Samoa,ASM,2008,0.4209322
American Samoa,ASM,2009,0.38293725
American Samoa,ASM,2010,0.3571992
American Samoa,ASM,2011,0.33828247
American Samoa,ASM,2012,0.31968376
American Samoa,ASM,2013,0.3785931
American Samoa,ASM,2014,0.37002042
Andorra,AND,1990,0.9719271
Andorra,AND,1991,1.0266302
Andorra,AND,1992,1.0539259
Andorra,AND,1993,1.1910372
Andorra,AND,1994,1.3960357
Andorra,AND,1995,1.6733482
Andorra,AND,1996,1.7035992
Andorra,AND,1997,1.668798
Andorra,AND,1998,1.6571977
Andorra,AND,1999,1.8181534
Andorra,AND,2000,1.9833782
Andorra,AND,2001,2.030413
Andorra,AND,2002,2.299929
Andorra,AND,2003,2.345917
Andorra,AND,2004,2.5496814
Andorra,AND,2005,2.670966
Andorra,AND,2006,2.8227775
Andorra,AND,2007,2.7403638
Andorra,AND,2008,2.727375
Andorra,AND,2009,2.8877857
Andorra,AND,2010,3.063975
Andorra,AND,2011,3.0428977
Andorra,AND,2012,3.0840724
Andorra,AND,2013,3.1918008
Andorra,AND,2014,3.166842
Angola,AGO,1990,126.18681
Angola,AGO,1991,134.5949
Angola,AGO,1992,126.6032
Angola,AGO,1993,129.46536
Angola,AGO,1994,121.71874
Angola,AGO,1995,122.45215
Angola,AGO,1996,115.61791
Angola,AGO,1997,119.531075
Angola,AGO,1998,123.50597
Angola,AGO,1999,129.9999
Angola,AGO,2000,103.06149
Angola,AGO,2001,98.93101
Angola,AGO,2002,88.80249
Angola,AGO,2003,104.690544
Angola,AGO,2004,142.32777
Angola,AGO,2005,180.25075
Angola,AGO,2006,216.38818
Angola,AGO,2007,195.3205
Angola,AGO,2008,170.40642
Angola,AGO,2009,154.39137
Angola,AGO,2010,153.48566
Angola,AGO,2011,153.52347
Angola,AGO,2012,144.786
Angola,AGO,2013,146.00728
Angola,AGO,2014,143.44653
Antigua and Barbuda,ATG,1990,0.10939868
Antigua and Barbuda,ATG,1991,0.120736696
Antigua and Barbuda,ATG,1992,0.12530822
Antigua and Barbuda,ATG,1993,0.14372896
Antigua and Barbuda,ATG,1994,0.1382755
Antigua and Barbuda,ATG,1995,0.14788574
Antigua and Barbuda,ATG,1996,0.1315531
Antigua and Barbuda,ATG,1997,0.13958481
Antigua and Barbuda,ATG,1998,0.0996457
Antigua and Barbuda,ATG,1999,0.08470467
Antigua and Barbuda,ATG,2000,0.04502831
Antigua and Barbuda,ATG,2001,0.07286844
Antigua and Barbuda,ATG,2002,0.062215816
Antigua and Barbuda,ATG,2003,0.06273084
Antigua and Barbuda,ATG,2004,0.018186247
Antigua and Barbuda,ATG,2005,0.0062088757
Antigua and Barbuda,ATG,2006,0.0073344302
Antigua and Barbuda,ATG,2007,0.018676272
Antigua and Barbuda,ATG,2008,0.026032167
Antigua and Barbuda,ATG,2009,0.024431445
Antigua and Barbuda,ATG,2010,0.016352646
Antigua and Barbuda,ATG,2011,0.009608189
Antigua and Barbuda,ATG,2012,0.00754567
Antigua and Barbuda,ATG,2013,0.0071715144
Antigua and Barbuda,ATG,2014,0.007525732
Argentina,ARG,1990,201.45264
Argentina,ARG,1991,203.65689
Argentina,ARG,1992,208.26918
Argentina,ARG,1993,214.10631
Argentina,ARG,1994,230.40967
Argentina,ARG,1995,243.74948
Argentina,ARG,1996,249.20554
Argentina,ARG,1997,239.9244
Argentina,ARG,1998,276.9577
Argentina,ARG,1999,282.9134
Argentina,ARG,2000,266.10962
Argentina,ARG,2001,259.26828
Argentina,ARG,2002,275.93835
Argentina,ARG,2003,285.7135
Argentina,ARG,2004,290.9167
Argentina,ARG,2005,349.59634
Argentina,ARG,2006,376.7742
Argentina,ARG,2007,408.85898
Argentina,ARG,2008,339.12427
Argentina,ARG,2009,347.78925
Argentina,ARG,2010,363.62997
Argentina,ARG,2011,417.4978
Argentina,ARG,2012,478.85614
Argentina,ARG,2013,441.91483
Argentina,ARG,2014,427.71063
Armenia,ARM,1990,92.342995
Armenia,ARM,1991,91.341675
Armenia,ARM,1992,93.491455
Armenia,ARM,1993,95.52886
Armenia,ARM,1994,93.7952
Armenia,ARM,1995,96.63611
Armenia,ARM,1996,91.969574
Armenia,ARM,1997,84.21554
Armenia,ARM,1998,81.75487
Armenia,ARM,1999,87.38507
Armenia,ARM,2000,89.947556
Armenia,ARM,2001,84.38019
Armenia,ARM,2002,87.45155
Armenia,ARM,2003,89.19787
Armenia,ARM,2004,90.834984
Armenia,ARM,2005,94.118965
Armenia,ARM,2006,102.96291
Armenia,ARM,2007,116.7858
Armenia,ARM,2008,120.61501
Armenia,ARM,2009,116.54978
