Entity,Code,Year,UHC Index
Afghanistan,AFG,2000,22.60528
Afghanistan,AFG,2005,27.51268
Afghanistan,AFG,2010,29.43584
Africa (2) (UN),,2000,26.73712
Africa (2) (UN),,2005,30.74656
Africa (2) (UN),,2010,39.23055
Africa (WHO),,2000,23.42367
Africa (WHO),,2005,27.50991
Africa (WHO),,2010,36.21727
Albania,ALB,2000,42.62449
Albania,ALB,2005,51.897
Albania,ALB,2010,57.38092
Algeria,DZA,2000,56.41185
Algeria,DZA,2005,61.09153
Algeria,DZA,2010,67.18185
Americas (UN),,2000,65.6727
Americas (UN),,2005,71.15553
Americas (UN),,2010,75.05061
Americas (WHO),,2000,65.6727
Americas (WHO),,2005,71.15553
Americas (WHO),,2010,75.05061
Andorra,AND,2000,67.36547
Andorra,AND,2005,71.49519
Andorra,AND,2010,74.17595
Angola,AGO,2000,20.51539
Angola,AGO,2005,23.65722
Angola,AGO,2010,31.21417
Antigua and Barbuda,ATG,2000,54.0169
Antigua and Barbuda,ATG,2005,66.66954
Antigua and Barbuda,ATG,2010,72.94039
Argentina,ARG,2000,68.04714
Argentina,ARG,2005,73.82919
Argentina,ARG,2010,76.45497
Armenia,ARM,2000,44.32031
Armenia,ARM,2005,51.33242
Armenia,ARM,2010,60.0615
Asia (142) (UN),,2000,39.41969
Asia (142) (UN),,2005,45.71717
Asia (142) (UN),,2010,55.62886
Australia,AUS,2000,81.14719
Australia,AUS,2005,82.63722
Australia,AUS,2010,84.05217
Austria,AUT,2000,69.85424
Austria,AUT,2005,77.39629
Austria,AUT,2010,81.12874
Azerbaijan,AZE,2000,42.03552
Azerbaijan,AZE,2005,37.80304
Azerbaijan,AZE,2010,50.51886
Bahamas,BHS,2000,53.83782
Bahamas,BHS,2005,71.09119
Bahamas,BHS,2010,73.1485
Bahrain,BHR,2000,59.81269
Bahrain,BHR,2005,63.71456
Bahrain,BHR,2010,67.50298
Bangladesh,BGD,2000,23.38344
Bangladesh,BGD,2005,27.39814
Bangladesh,BGD,2010,36.57942
Barbados,BRB,2000,54.19871
Barbados,BRB,2005,72.15047
Barbados,BRB,2010,74.77112
Belarus,BLR,2000,52.83664
Belarus,BLR,2005,59.20566
Belarus,BLR,2010,70.07163
Belgium,BEL,2000,76.61296
Belgium,BEL,2005,80.56431
Belgium,BEL,2010,83.4508
Belize,BLZ,2000,47.28611
Belize,BLZ,2005,57.6748
Belize,BLZ,2010,64.03525
Benin,BEN,2000,20.65965
Benin,BEN,2005,22.10853
Benin,BEN,2010,33.211
Bhutan,BTN,2000,35.1624
Bhutan,BTN,2005,36.52815
Bhutan,BTN,2010,44.34076
Bolivia,BOL,2000,36.87305
Bolivia,BOL,2005,38.9781
Bolivia,BOL,2010,47.45756
Bosnia and Herzegovina,BIH,2000,44.36213
Bosnia and Herzegovina,BIH,2005,61.05249
Bosnia and Herzegovina,BIH,2010,62.398
Botswana,BWA,2000,35.46302
Botswana,BWA,2005,47.94382
Botswana,BWA,2010,53.79683
Brazil,BRA,2000,68.04693
Brazil,BRA,2005,73.40996
Brazil,BRA,2010,76.01514
Brunei,BRN,2000,49.39087
Brunei,BRN,2005,63.84196
Brunei,BRN,2010,69.67525
Bulgaria,BGR,2000,56.23362
Bulgaria,BGR,2005,60.81434
Bulgaria,BGR,2010,65.17148
Burkina Faso,BFA,2000,15.4195
Burkina Faso,BFA,2005,21.31436
Burkina Faso,BFA,2010,29.88395
Burundi,BDI,2000,19.364
Burundi,BDI,2005,23.64375
Burundi,BDI,2010,33.46381
Cambodia,KHM,2000,23.90044
Cambodia,KHM,2005,37.24602
Cambodia,KHM,2010,50.46432
Cameroon,CMR,2000,22.3873
Cameroon,CMR,2005,28.42808
Cameroon,CMR,2010,32.96333
Canada,CAN,2000,73.74116
Canada,CAN,2005,79.43651
Canada,CAN,2010,83.30693
Cape Verde,CPV,2000,43.10192
Cape Verde,CPV,2005,53.51265
Cape Verde,CPV,2010,62.6954
Central African Republic,CAF,2000,17.73278
Central African Republic,CAF,2005,18.914
Central African Republic,CAF,2010,26.01012
Chad,TCD,2000,14.5817
Chad,TCD,2005,15.59872
Chad,TCD,2010,22.26037
Chile,CHL,2000,65.02777
Chile,CHL,2005,73.63523
Chile,CHL,2010,76.76622
China,CHN,2000,46.70368
China,CHN,2005,56.73541
China,CHN,2010,66.18852
Colombia,COL,2000,51.5003
Colombia,COL,2005,62.69008
Colombia,COL,2010,68.33423
Comoros,COM,2000,25.8583
Comoros,COM,2005,32.12627
Comoros,COM,2010,38.92088
Congo,COG,2000,20.97332
Congo,COG,2005,24.63898
Congo,COG,2010,29.74213
Cook Islands,COK,2000,47.38666
Cook Islands,COK,2005,50.16754
Cook Islands,COK,2010,60.70597
Costa Rica,CRI,2000,65.50869
Costa Rica,CRI,2005,70.32895
Costa Rica,CRI,2010,74.93482
Cote d'Ivoire,CIV,2000,21.66734
Cote d'Ivoire,CIV,2005,24.78389
Cote d'Ivoire,CIV,2010,33.35059
Croatia,HRV,2000,70.72003
Croatia,HRV,2005,73.81461
Croatia,HRV,2010,76.82191
Cuba,CUB,2000,56.22157
Cuba,CUB,2005,70.8773
Cuba,CUB,2010,78.30153
Cyprus,CYP,2000,50.63619
Cyprus,CYP,2005,66.68087
Cyprus,CYP,2010,70.17817
Czechia,CZE,2000,76.89719
Czechia,CZE,2005,77.30387
Czechia,CZE,2010,79.61569
Democratic Republic of Congo,COD,2000,20.62725
Democratic Republic of Congo,COD,2005,22.68262
Democratic Republic of Congo,COD,2010,29.64598
Denmark,DNK,2000,71.78837
Denmark,DNK,2005,74.38334
Denmark,DNK,2010,76.93965
Djibouti,DJI,2000,23.38025
Djibouti,DJI,2005,28.2272
Djibouti,DJI,2010,36.68119
Dominica,DMA,2000,48.80398
Dominica,DMA,2005,59.99614
Dominica,DMA,2010,65.53093
Dominican Republic,DOM,2000,50.87753
Dominican Republic,DOM,2005,57.40839
Dominican Republic,DOM,2010,70.03009
East Timor,TLS,2000,28.12505
East Timor,TLS,2005,30.76128
East Timor,TLS,2010,41.47976
Eastern Mediterranean (WHO),,2000,37.48567
Eastern Mediterranean (WHO),,2005,41.54613
Eastern Mediterranean (WHO),,2010,46.98394
Ecuador,ECU,2000,51.2664
Ecuador,ECU,2005,57.80808
Ecuador,ECU,2010,68.16116
Egypt,EGY,2000,50.39901
Egypt,EGY,2005,52.27327
Egypt,EGY,2010,62.35203
El Salvador,SLV,2000,51.54281
El Salvador,SLV,2005,64.98482
El Salvador,SLV,2010,73.32805
Equatorial Guinea,GNQ,2000,19.70556
Equatorial Guinea,GNQ,2005,22.57277
Equatorial Guinea,GNQ,2010,28.79866
Eritrea,ERI,2000,25.83123
Eritrea,ERI,2005,31.82051
Eritrea,ERI,2010,40.1129
Estonia,EST,2000,59.60306
Estonia,EST,2005,61.63895
Estonia,EST,2010,72.09915
Eswatini,SWZ,2000,35.70971
Eswatini,SWZ,2005,44.00773
Eswatini,SWZ,2010,51.10865
Ethiopia,ETH,2000,13.30969
Ethiopia,ETH,2005,16.66036
Ethiopia,ETH,2010,26.55138
Europe (150) (UN),,2000,66.36808
Europe (150) (UN),,2005,69.35453
Europe (150) (UN),,2010,76.50249
Europe (WHO),,2000,64.45797
Europe (WHO),,2005,67.7624
Europe (WHO),,2010,74.5882
Fiji,FJI,2000,41.9571
Fiji,FJI,2005,50.17557
Fiji,FJI,2010,52.49566
Finland,FIN,2000,74.75711
Finland,FIN,2005,81.45949
Finland,FIN,2010,83.97301
France,FRA,2000,79.14757
France,FRA,2005,80.51516
France,FRA,2010,81.51898
Gabon,GAB,2000,28.17883
Gabon,GAB,2005,36.9588
Gabon,GAB,2010,45.2353
Gambia,GMB,2000,28.94088
Gambia,GMB,2005,36.07573
Gambia,GMB,2010,40.6432
Georgia,GEO,2000,47.09488
Georgia,GEO,2005,61.36617
Georgia,GEO,2010,68.51891
Germany,DEU,2000,78.7087
Germany,DEU,2005,82.53266
Germany,DEU,2010,84.82602
Ghana,GHA,2000,23.65041
Ghana,GHA,2005,25.60964
Ghana,GHA,2010,35.24769
Greece,GRC,2000,68.94923
Greece,GRC,2005,72.82025
Greece,GRC,2010,75.39027
Grenada,GRD,2000,49.84954
Grenada,GRD,2005,61.57412
Grenada,GRD,2010,67.91986
Guatemala,GTM,2000,40.4051
Guatemala,GTM,2005,50.05145
Guatemala,GTM,2010,57.51889
Guinea,GIN,2000,16.07397
Guinea,GIN,2005,18.86237
Guinea,GIN,2010,25.80411
Guinea-Bissau,GNB,2000,19.06267
Guinea-Bissau,GNB,2005,22.73221
Guinea-Bissau,GNB,2010,28.78932
Guyana,GUY,2000,44.87869
Guyana,GUY,2005,58.66557
Guyana,GUY,2010,64.95517
Haiti,HTI,2000,27.3593
Haiti,HTI,2005,33.1177
Haiti,HTI,2010,41.99582
Honduras,HND,2000,42.03738
Honduras,HND,2005,52.427
Honduras,HND,2010,58.20331
Hungary,HUN,2000,70.13693
Hungary,HUN,2005,71.93488
Hungary,HUN,2010,73.16734
Iceland,ISL,2000,77.75259
Iceland,ISL,2005,83.27841
Iceland,ISL,2010,84.88487
India,IND,2000,29.66446
India,IND,2005,33.83773
India,IND,2010,48.56442
Indonesia,IDN,2000,29.037
Indonesia,IDN,2005,33.55102
Indonesia,IDN,2010,41.67841
Iran,IRN,2000,49.79386
