Country,Year,Air_Pollution_Deaths,Infectious_Disease_Deaths,Life_Expectancy,Smoking_Attributed_Deaths,Under_Fifteen_Mortality,Ozone_Pollution_Deaths
b'Afghanistan',1990,37231.21,57148.0,46.0,5174.313,102541.0,387.40778
b'Afghanistan',1991,38314.742,59643.0,46.7,5246.9497,99313.0,375.74197
b'Afghanistan',1992,41172.36,65320.0,47.6,5363.3354,96952.0,363.53348
b'Afghanistan',1993,44487.586,73219.0,51.5,5522.3994,102855.0,367.1182
b'Afghanistan',1994,46633.84,79205.0,51.5,5688.7485,112226.0,386.7526
b'Afghanistan',1995,47566.395,84173.0,52.5,5800.6177,119091.0,405.7147
b'Afghanistan',1996,48616.92,86804.0,53.2,5934.1523,123324.0,409.06934
b'Afghanistan',1997,49702.926,88647.0,53.6,6065.6665,125969.0,418.64206
b'Afghanistan',1998,49745.668,89604.0,52.9,6177.6875,129246.0,434.3152
b'Afghanistan',1999,49348.86,88872.0,54.8,6288.3413,128377.0,465.71017
b'Afghanistan',2000,48762.562,88177.0,55.3,6377.8887,128633.0,478.59872
b'Afghanistan',2001,48659.824,86980.0,55.8,6505.155,125683.0,458.04956
b'Afghanistan',2002,47732.44,89067.0,56.5,6487.9395,121967.0,430.32092
b'Afghanistan',2003,48686.883,78786.0,57.3,6527.653,122903.0,447.9483
b'Afghanistan',2004,48336.797,73711.0,57.9,6594.475,124230.0,446.78104
b'Afghanistan',2005,47107.3,70774.0,58.4,6635.9478,122306.0,442.95218
b'Afghanistan',2006,45691.066,67383.0,58.7,6720.0693,120657.0,425.64322
b'Afghanistan',2007,44161.254,63954.0,59.1,6849.35,119635.0,487.6529
b'Afghanistan',2008,42696.285,62075.0,59.9,7026.1265,114615.0,514.14514
b'Afghanistan',2009,41348.305,59703.0,60.4,7181.1147,109827.0,477.79248
b'Afghanistan',2010,40544.543,56661.0,60.9,7339.67,107214.0,422.43604
b'Afghanistan',2011,39893.324,54724.0,61.4,7571.6855,103661.0,403.22464
b'Afghanistan',2012,39363.207,52807.0,61.9,7855.574,101200.0,418.89972
b'Afghanistan',2013,39187.14,49844.0,62.4,8123.7925,99407.0,433.21323
b'Afghanistan',2014,38711.02,48031.0,62.5,8428.712,96776.0,413.5886
b'African Region (WHO)',1990,868865.56,3859733.0,,175453.8,,2971.3318
b'African Region (WHO)',1991,877997.44,3987338.0,,179235.25,,3066.2625
b'African Region (WHO)',1992,889898.1,4091376.0,,183930.73,,2997.239
b'African Region (WHO)',1993,898921.25,4213409.0,,185843.22,,2957.7156
b'African Region (WHO)',1994,910657.2,4373652.0,,190794.3,,2828.3591
b'African Region (WHO)',1995,922575.7,4520324.0,,195920.84,,2883.434
b'African Region (WHO)',1996,933426.75,4691417.0,,201739.1,,2848.584
b'African Region (WHO)',1997,943593.1,4812734.0,,209218.48,,2979.2532
b'African Region (WHO)',1998,952548.7,4934156.0,,213098.33,,2969.0737
b'African Region (WHO)',1999,958371.5,5042802.0,,212744.42,,3148.0254
b'African Region (WHO)',2000,964294.7,5139817.0,,215528.9,,2582.4675
b'African Region (WHO)',2001,962189.4,5205300.0,,214909.25,,2440.598
b'African Region (WHO)',2002,962116.2,5225950.0,,215497.94,,2081.9734
b'African Region (WHO)',2003,958149.94,5245604.0,,216621.47,,2267.9216
b'African Region (WHO)',2004,952948.06,5205145.0,,216528.17,,2879.684
b'African Region (WHO)',2005,948635.44,5115756.0,,216048.89,,3898.613
b'African Region (WHO)',2006,950086.2,4989831.0,,217166.77,,5266.905
b'African Region (WHO)',2007,944671.0,4839407.0,,216340.03,,5095.0757
b'African Region (WHO)',2008,936936.94,4685506.0,,216665.84,,4309.6885
b'African Region (WHO)',2009,932183.06,4539450.0,,217700.78,,3698.0864
b'African Region (WHO)',2010,926694.4,4397632.0,,218518.0,,4026.714
b'African Region (WHO)',2011,922752.4,4242153.0,,219104.23,,4689.9985
b'African Region (WHO)',2012,922904.7,4087334.0,,220368.58,,5181.9316
b'African Region (WHO)',2013,923652.3,3947930.0,,221841.03,,5988.302
b'African Region (WHO)',2014,923884.75,3848070.0,,224484.94,,6079.3906
b'Albania',1990,2964.7466,2767.0,73.1,2751.6006,3762.0,79.431564
b'Albania',1991,3037.9163,2634.0,73.4,2809.0579,3542.0,73.71135
b'Albania',1992,2928.1514,2530.0,73.7,2705.3171,3329.0,69.98115
b'Albania',1993,2800.3262,2379.0,73.9,2603.1292,3131.0,68.43998
b'Albania',1994,2632.2195,2188.0,74.1,2452.9595,2959.0,65.98305
b'Albania',1995,2659.7341,1960.0,74.4,2550.0374,2804.0,63.413418
b'Albania',1996,2684.9436,1773.0,74.6,2674.3691,2621.0,58.83254
b'Albania',1997,2685.7163,1598.0,73.9,2744.9543,2477.0,59.78211
b'Albania',1998,2661.3462,1450.0,75.0,2788.3816,2191.0,53.19539
b'Albania',1999,2611.0303,1265.0,75.2,2794.6804,1996.0,46.39912
b'Albania',2000,2536.665,1097.0,75.4,2831.889,1813.0,39.061966
b'Albania',2001,2416.0698,948.0,75.6,2767.937,1630.0,37.968166
b'Albania',2002,2480.8923,868.0,75.9,2897.9949,1457.0,46.10592
b'Albania',2003,2595.1194,816.0,76.1,3100.1785,1306.0,53.845936
b'Albania',2004,2563.436,742.0,76.4,3166.1003,1169.0,56.29612
b'Albania',2005,2474.156,668.0,76.6,3108.3745,1034.0,52.391483
b'Albania',2006,2314.5327,592.0,76.8,2973.473,910.0,46.854786
b'Albania',2007,2191.796,532.0,77.5,2899.2192,804.0,45.829433
b'Albania',2008,2199.2644,500.0,77.7,3010.7542,718.0,43.59937
b'Albania',2009,2149.5298,471.0,77.8,3061.293,647.0,40.571438
b'Albania',2010,2130.475,461.0,77.9,3147.2642,589.0,34.508976
b'Albania',2011,2157.0374,466.0,78.1,3301.942,540.0,34.17902
b'Albania',2012,2161.334,477.0,78.1,3411.2158,500.0,35.68106
b'Albania',2013,2175.843,491.0,78.1,3543.6035,468.0,37.008152
b'Albania',2014,2214.3867,510.0,78.4,3741.2747,440.0,37.46851
b'Algeria',1990,14222.813,18240.0,67.4,13779.92,47729.0,218.97688
b'Algeria',1991,14437.318,17081.0,67.7,14233.036,46639.0,232.44534
b'Algeria',1992,14647.692,16226.0,67.8,14540.913,46160.0,231.70526
b'Algeria',1993,14898.784,15515.0,67.7,14827.082,45362.0,247.26488
b'Algeria',1994,15168.432,14814.0,67.4,15078.419,44000.0,254.08092
b'Algeria',1995,15368.095,14065.0,67.5,15269.932,41522.0,276.9673
b'Algeria',1996,15557.673,13344.0,68.7,15363.95,38358.0,273.4454
b'Algeria',1997,15817.631,12184.0,69.2,15419.513,35474.0,276.86954
b'Algeria',1998,16020.331,11515.0,69.5,15442.409,32950.0,267.38306
b'Algeria',1999,16477.896,11063.0,70.0,15611.044,31081.0,340.041
b'Algeria',2000,16634.488,10582.0,70.5,15654.23,29727.0,358.90515
b'Algeria',2001,16672.674,10057.0,70.8,15698.557,28526.0,362.16498
b'Algeria',2002,16651.125,9812.0,71.2,15761.597,27434.0,341.05692
b'Algeria',2003,16587.582,9511.0,71.3,15843.926,27122.0,340.15823
b'Algeria',2004,16604.719,9149.0,71.8,15979.762,26308.0,353.94046
b'Algeria',2005,16604.648,8958.0,72.1,16143.619,26018.0,322.76013
b'Algeria',2006,16651.344,8807.0,72.3,16306.281,25813.0,325.06146
b'Algeria',2007,16694.322,8683.0,72.6,16512.639,25757.0,332.09586
b'Algeria',2008,16748.191,8525.0,72.9,16732.793,25871.0,343.78687
b'Algeria',2009,16922.734,8566.0,73.6,17014.246,26030.0,385.96564
b'Algeria',2010,17154.611,8524.0,73.8,17237.574,26167.0,412.72217
b'Algeria',2011,17633.037,8561.0,74.1,17594.926,26348.0,430.3664
b'Algeria',2012,18169.797,8616.0,74.2,17978.12,26749.0,421.623
b'Algeria',2013,18803.111,8700.0,74.6,18318.133,27066.0,469.07364
b'Algeria',2014,19529.607,8824.0,75.1,18740.156,27284.0,499.41202
b'American Samoa',1990,15.416121,22.0,69.9,33.550743,,0.22422339
b'American Samoa',1991,15.291263,22.0,70.6,34.745083,,0.29966772
b'American Samoa',1992,15.112055,23.0,70.6,35.743843,,0.3842596
b'American Samoa',1993,14.875119,23.0,70.8,36.49441,,0.4619658
b'American Samoa',1994,14.640597,22.0,70.8,37.45542,,0.4001079
b'American Samoa',1995,14.427109,22.0,71.1,38.31633,,0.32310665
b'American Samoa',1996,14.333261,22.0,71.1,39.243286,,0.32766777
b'American Samoa',1997,14.328044,22.0,71.3,40.16044,,0.4203432
b'American Samoa',1998,14.34461,22.0,71.3,41.14374,,0.51570016
b'American Samoa',1999,14.35553,22.0,71.1,42.269318,,0.5219269
b'American Samoa',2000,14.12046,22.0,71.0,42.606495,,0.42856577
b'American Samoa',2001,13.988691,22.0,70.9,43.32753,,0.39955884
b'American Samoa',2002,13.839958,22.0,71.3,43.995724,,0.3953999
b'American Samoa',2003,13.634705,23.0,71.1,44.51052,,0.36892772
b'American Samoa',2004,13.485196,22.0,72.0,44.87876,,0.37202588
b'American Samoa',2005,13.428073,21.0,72.3,45.161484,,0.36331207
b'American Samoa',2006,13.584761,21.0,72.1,45.741577,,0.42989793
b'American Samoa',2007,13.661563,21.0,72.1,46.193954,,0.41995597
b'American Samoa',2008,13.868043,21.0,72.1,47.054523,,0.4209322
b'American Samoa',2009,14.030662,21.0,70.5,47.867283,,0.38293725
b'American Samoa',2010,14.045568,20.0,72.1,48.18708,,0.3571992
b'American Samoa',2011,14.087269,20.0,72.1,48.70226,,0.33828247
b'American Samoa',2012,14.014748,19.0,72.3,49.375134,,0.31968376
b'American Samoa',2013,13.984227,20.0,72.3,50.34144,,0.3785931
b'American Samoa',2014,13.86673,20.0,72.3,51.14592,,0.37002042
b'Andorra',1990,10.203637,8.0,78.4,59.971134,10.0,0.9719271
b'Andorra',1991,10.472077,11.0,78.0,63.211082,10.0,1.0266302
b'Andorra',1992,10.818772,11.0,80.3,66.96454,10.0,1.0539259
b'Andorra',1993,11.265745,12.0,78.7,70.824005,10.0,1.1910372
b'Andorra',1994,11.601949,12.0,82.6,72.44682,9.0,1.3960357
b'Andorra',1995,11.987379,13.0,79.0,73.61649,9.0,1.6733482
b'Andorra',1996,12.313697,14.0,80.3,74.87549,9.0,1.7035992
b'Andorra',1997,12.73312,14.0,80.9,76.316605,9.0,1.668798
b'Andorra',1998,13.188112,15.0,79.4,77.65407,8.0,1.6571977
b'Andorra',1999,13.793981,15.0,81.3,78.846886,8.0,1.8181534
b'Andorra',2000,14.345646,16.0,80.9,80.70329,8.0,1.9833782
b'Andorra',2001,14.567137,16.0,81.7,82.43426,7.0,2.030413
b'Andorra',2002,14.862954,17.0,82.2,84.39883,7.0,2.299929
b'Andorra',2003,14.864876,17.0,83.9,86.83223,7.0,2.345917
b'Andorra',2004,15.038736,19.0,80.1,89.10217,7.0,2.5496814
b'Andorra',2005,14.994022,19.0,81.8,89.98807,7.0,2.670966
b'Andorra',2006,15.2036085,20.0,83.0,92.004845,7.0,2.8227775
b'Andorra',2007,15.172322,22.0,82.7,93.73012,7.0,2.7403638
b'Andorra',2008,15.259054,22.0,82.7,95.71921,5.0,2.727375
b'Andorra',2009,15.552909,23.0,82.8,97.69946,5.0,2.8877857
b'Andorra',2010,15.814057,22.0,82.8,99.392845,4.0,3.063975
b'Andorra',2011,15.166168,23.0,82.9,93.66909,4.0,3.0428977
b'Andorra',2012,14.965033,23.0,82.9,91.98637,3.0,3.0840724
b'Andorra',2013,15.047664,24.0,82.9,93.36005,3.0,3.1918008
